SDG,SDG_Name,Division,DivisionCode,Zila,ZilaCode,Country,Estimate,Unit,Indicator,Source,Year,Definition,Note
3,Good Health and Wellbeing,Dhaka,30,Dhaka,26,Bangladesh,41,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Dhaka,26,Bangladesh,71,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Faridpur,29,Bangladesh,65,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Faridpur,29,Bangladesh,73,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Faridpur,29,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Faridpur,29,Bangladesh,9,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Dhaka,30,Faridpur,29,Bangladesh,48,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Faridpur,29,Bangladesh,0,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Gazipur,33,Bangladesh,1,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Gazipur,33,Bangladesh,49,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Gazipur,33,Bangladesh,65,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Gazipur,33,Bangladesh,68,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Gazipur,33,Bangladesh,29,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Dhaka,30,Gazipur,33,Bangladesh,22,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Gopalganj,35,Bangladesh,63,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Gopalganj,35,Bangladesh,89,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Gopalganj,35,Bangladesh,22,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Dhaka,30,Gopalganj,35,Bangladesh,22,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Gopalganj,35,Bangladesh,3,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Gopalganj,35,Bangladesh,24,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Kishoreganj,48,Bangladesh,58,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Kishoreganj,48,Bangladesh,99,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Kishoreganj,48,Bangladesh,28,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Kishoreganj,48,Bangladesh,62,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Kishoreganj,48,Bangladesh,36,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Dhaka,30,Kishoreganj,48,Bangladesh,3,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Madaripur,54,Bangladesh,42,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Madaripur,54,Bangladesh,59,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Dhaka,30,Madaripur,54,Bangladesh,69,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Madaripur,54,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Madaripur,54,Bangladesh,75,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Madaripur,54,Bangladesh,17,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Manikganj,56,Bangladesh,0,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Manikganj,56,Bangladesh,6,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Dhaka,30,Manikganj,56,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Manikganj,56,Bangladesh,69,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Manikganj,56,Bangladesh,62,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Manikganj,56,Bangladesh,60,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Munshiganj,59,Bangladesh,35,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Munshiganj,59,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Munshiganj,59,Bangladesh,63,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Munshiganj,59,Bangladesh,44,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Munshiganj,59,Bangladesh,35,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Dhaka,30,Munshiganj,59,Bangladesh,71,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Narayanganj,67,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Narayanganj,67,Bangladesh,62,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Narayanganj,67,Bangladesh,42,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Narayanganj,67,Bangladesh,58,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Narayanganj,67,Bangladesh,50,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Dhaka,30,Narayanganj,67,Bangladesh,40,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Narsingdi,68,Bangladesh,28,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Dhaka,30,Narsingdi,68,Bangladesh,53,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Narsingdi,68,Bangladesh,12,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Narsingdi,68,Bangladesh,77,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Narsingdi,68,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Narsingdi,68,Bangladesh,56,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Rajbari,82,Bangladesh,73,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Rajbari,82,Bangladesh,8,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Dhaka,30,Rajbari,82,Bangladesh,8,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Rajbari,82,Bangladesh,70,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Rajbari,82,Bangladesh,64,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Rajbari,82,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Shariatpur,86,Bangladesh,3,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Shariatpur,86,Bangladesh,63,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Shariatpur,86,Bangladesh,12,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Dhaka,30,Shariatpur,86,Bangladesh,6,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Shariatpur,86,Bangladesh,65,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Shariatpur,86,Bangladesh,92,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Tangail,93,Bangladesh,76,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Tangail,93,Bangladesh,67,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Tangail,93,Bangladesh,69,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Tangail,93,Bangladesh,29,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Dhaka,30,Tangail,93,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Tangail,93,Bangladesh,20,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Bagerhat,1,Bangladesh,26,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Khulna,40,Bagerhat,1,Bangladesh,26,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Bagerhat,1,Bangladesh,70,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Bagerhat,1,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Bagerhat,1,Bangladesh,67,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Bagerhat,1,Bangladesh,68,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Chuadanga,18,Bangladesh,25,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Chuadanga,18,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Chuadanga,18,Bangladesh,58,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Chuadanga,18,Bangladesh,25,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Khulna,40,Chuadanga,18,Bangladesh,60,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Chuadanga,18,Bangladesh,57,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Jessore,41,Bangladesh,11,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Khulna,40,Jessore,41,Bangladesh,67,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Jessore,41,Bangladesh,60,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Jessore,41,Bangladesh,87,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Jessore,41,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Jessore,41,Bangladesh,11,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Jhenaidah,44,Bangladesh,81,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Jhenaidah,44,Bangladesh,16,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Jhenaidah,44,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Jhenaidah,44,Bangladesh,62,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Jhenaidah,44,Bangladesh,24,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Khulna,40,Jhenaidah,44,Bangladesh,77,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Khulna,47,Bangladesh,22,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Khulna,47,Bangladesh,69,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Khulna,47,Bangladesh,58,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Khulna,47,Bangladesh,22,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Khulna,40,Khulna,47,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Khulna,47,Bangladesh,66,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Kushtia,50,Bangladesh,70,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Kushtia,50,Bangladesh,26,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Khulna,40,Kushtia,50,Bangladesh,33,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
